id_func,nome,email,departamento,cargo,data_nascimento,data_admissao,idade,tempo_empresa,salario,nivel_burnout,nivel_engajamento,satisfacao_trabalho,horas_extras_semanais,pausas_diarias,genero,estado_civil,filhos,escolaridade,fator_risco_principal,iniciativa_saude_mental,participa_programa_saude
1,Patrícia Ribeiro Pereira,patrícia.ribeiro40@empresa.com.br,Sustentabilidade,Analista de Sustentabilidade,1981-10-02,2025-11-16,44,0,8028,47,63,57,1,7,F,Solteiro(a),2,Doutorado,Complexidade de métricas,Encontros de alinhamento de propósito,False
2,Daniel Nascimento Ferreira,daniel.nascimento64@empresa.com.br,Vendas,Vendedor Pleno,2000-07-12,2022-04-12,25,3,6663,68,26,34,1,6,M,Casado(a),0,Ensino Médio,Incerteza de renda,Plano de comissão justo,False
3,Leonardo Lima Pereira,leonardo.lima65@empresa.com.br,Saúde Mental,Coordenador de Qualidade de Vida,1998-09-25,2021-12-06,27,4,28250,47,55,68,1,7,M,Divorciado(a),2,Pós-graduação,Desgaste por empatia,Grupos de apoio,True
4,Aline Silva Gomes,aline.silva3@empresa.com.br,RH,Analista de RH,2004-01-22,2025-06-23,21,0,21692,71,33,31,0,6,F,Divorciado(a),3,Pós-graduação,Pressão por resultados,Oficinas de inteligência emocional,True
5,Juliana Santos Araújo,juliana.santos77@empresa.com.br,RH,Analista de RH,1963-10-01,2025-08-30,62,0,22643,65,31,39,2,6,F,Solteiro(a),3,Graduação,Pressão por resultados,Oficinas de inteligência emocional,True
6,Carlos Silva Santos,carlos.silva89@empresa.com.br,Vendas,Vendedor Pleno,1995-04-23,2022-01-15,30,3,4545,73,29,40,3,6,M,Casado(a),0,Ensino Médio,Rejeição constante,Plano de comissão justo,True
7,Diego Correia Carvalho,diego.correia3@empresa.com.br,Saúde Mental,Especialista em Bem-estar,1981-12-05,2023-05-08,44,2,14061,40,67,74,1,8,M,Casado(a),0,Técnico,Falta de recursos,Programas de autocuidado,True
8,Gustavo Barbosa Moraes,gustavo.barbosa72@empresa.com.br,Sustentabilidade,Gerente de Impacto Social,1971-03-04,2022-05-05,54,3,16818,61,41,53,4,7,M,Solteiro(a),1,Graduação,Alinhamento de stakeholders,Encontros de alinhamento de propósito,True
9,Natália Almeida Alves,natália.almeida1@empresa.com.br,Sustentabilidade,Gerente de Impacto Social,1990-07-19,2019-01-27,35,6,16353,71,47,33,4,6,F,Solteiro(a),0,Doutorado,Alinhamento de stakeholders,Práticas de mindfulness,False
10,Juliana Castro Nogueira,juliana.castro93@empresa.com.br,Sustentabilidade,Analista de Sustentabilidade,1993-05-10,2018-05-06,32,7,5806,62,49,50,5,7,F,Casado(a),0,Técnico,Complexidade de métricas,Programa de bem-estar integral,False
11,Amanda Moraes Nascimento,amanda.moraes54@empresa.com.br,Sustentabilidade,Especialista em ODS,1985-08-08,2023-07-22,40,2,19503,45,62,52,0,7,F,Casado(a),0,Mestrado,Alinhamento de stakeholders,Programa de bem-estar integral,True
12,Felipe Rocha Melo,felipe.rocha99@empresa.com.br,Saúde Mental,Especialista em Bem-estar,1962-04-22,2025-07-04,63,0,16814,48,53,64,0,7,M,Viúvo(a),0,Ensino Médio,Desgaste por empatia,Programas de autocuidado,True
13,Gabriel Couto,gabriel.couto@empresa.com.br,TI,Engenheiro de Software,2006-04-27,2023-01-01,19,2,8000,90,25,30,5,2,M,Solteiro(a),0,Graduação,Pressão por prazos,Sessões de terapia em grupo,True
14,Fernanda Martins Correia,fernanda.martins35@empresa.com.br,TI,Desenvolvedor Sênior,1998-11-11,2018-06-03,27,7,13275,82,25,37,2,5,F,Divorciado(a),2,Técnico,Longas jornadas,Programa de mentoria,True
15,Bianca Costa Almeida,bianca.costa58@empresa.com.br,Saúde Mental,Psicólogo Organizacional,1968-01-20,2025-01-22,57,0,8993,60,37,51,3,7,F,Casado(a),2,Graduação,Falta de recursos,Supervisão clínica,False
16,Mariana Monteiro Martins,mariana.monteiro15@empresa.com.br,Sustentabilidade,Especialista em ODS,1999-05-09,2024-03-22,26,1,13957,62,54,50,4,7,F,Divorciado(a),1,Pós-graduação,Alinhamento de stakeholders,Práticas de mindfulness,True
17,Gabriel Kato,gabriel.kato@empresa.com.br,TI,Engenheiro de Software,2005-06-15,2023-02-15,20,2,8500,88,28,32,6,2,M,Solteiro(a),0,Graduação,Longas jornadas,Flexibilidade de horário,True
18,Rafael Oliveira Cardoso,rafael.oliveira29@empresa.com.br,Sustentabilidade,Especialista em ODS,1985-01-15,2022-04-17,40,3,10345,47,52,68,0,7,M,Divorciado(a),0,Pós-graduação,Pressão por resultados de impacto,Práticas de mindfulness,True
19,Carlos Pereira Ferreira,carlos.pereira91@empresa.com.br,Saúde Mental,Coordenador de Qualidade de Vida,2000-10-10,2024-07-04,25,1,24734,52,47,62,3,7,M,Solteiro(a),2,Doutorado,Falta de recursos,Grupos de apoio,True
20,Juliana Moraes Almeida,juliana.moraes16@empresa.com.br,TI,Gerente de TI,1962-02-12,2023-12-13,63,2,17313,82,29,20,1,5,F,Divorciado(a),1,Doutorado,Síndrome do impostor,Sessões de terapia em grupo,True
21,João Matos,joao.matos@empresa.com.br,TI,Engenheiro de Software,2004-03-10,2023-03-20,21,1,8200,92,22,28,7,1,M,Solteiro(a),0,Graduação,Síndrome do impostor,Programa de mentoria,True
22,Lucas Gomes Silva,lucas.gomes61@empresa.com.br,RH,Especialista em DP,1972-09-17,2024-11-23,53,1,19238,53,56,59,0,7,M,Divorciado(a),0,Mestrado,Sobrecarga emocional,Oficinas de inteligência emocional,True
23,Felipe Rodrigues Rodrigues,felipe.rodrigues65@empresa.com.br,Sustentabilidade,Analista de Sustentabilidade,1994-07-02,2023-02-13,31,2,6817,39,66,75,1,8,M,Solteiro(a),3,Doutorado,Complexidade de métricas,Encontros de alinhamento de propósito,True
24,Vinicius Costa Santos,vinicius.costa77@empresa.com.br,Vendas,Vendedor Júnior,1977-05-10,2022-08-21,48,3,2150,80,12,32,0,5,M,Divorciado(a),0,Mestrado,Rejeição constante,Plano de comissão justo,True
25,Bianca Nogueira Azevedo,bianca.nogueira87@empresa.com.br,TI,Desenvolvedor Júnior,1965-01-11,2019-11-08,60,6,3722,72,27,29,0,6,F,Viúvo(a),1,Graduação,Longas jornadas,Sessões de terapia em grupo,True
26,Ana Cunha Cunha,ana.cunha21@empresa.com.br,RH,Analista de RH,1974-06-01,2023-05-03,51,2,9928,59,41,48,4,7,F,Divorciado(a),1,Doutorado,Pressão por resultados,Oficinas de inteligência emocional,True
